Ticker,SGOV,XBI,EWT,AVUV,CIBR,KIE,THD,VTV,SPYD,AVDV,EWS,XLV,JETS,XOP,RYLD,VPL
SGOV,1.0,-0.029480074120845266,-0.011258511240050844,-0.04074569242001971,-0.014081756129449053,-0.033332601292611126,-0.026327720221764845,-0.02219955906549811,-0.000992164432772468,-0.03146187060642098,-0.015835231562354123,0.005908971047517341,-0.008950068302680154,-0.057544954118827034,-0.030738019839025372,-0.03518722580854719
XBI,-0.029480074120845266,1.0,0.4372151027318455,0.556446137356617,0.5284010750324009,0.3726606589288807,0.36103981991381107,0.559524859443194,0.47099231084853505,0.5026724570729662,0.4994482500253859,0.5649499222821203,0.5132328309348622,0.23381318417948727,0.6265068359595563,0.506062427179889
EWT,-0.011258511240050844,0.4372151027318455,1.0,0.5467746892575918,0.5289076146626612,0.2388337112725847,0.5725854362294471,0.547795804382083,0.3815468202619467,0.6897143723364703,0.6168308821241292,0.2712352030128661,0.5279309723565568,0.2681058207044764,0.5836889534868637,0.7861216475355984
AVUV,-0.04074569242001971,0.556446137356617,0.5467746892575918,1.0,0.5781105122306008,0.6745074767657065,0.422939046240325,0.8526381494586756,0.8109755495826809,0.7086204354515946,0.5719729919156865,0.4975240822573783,0.7129079504596303,0.6246067101347506,0.8113663580210969,0.6341137676842696
CIBR,-0.014081756129449053,0.5284010750324009,0.5289076146626612,0.5781105122306008,1.0,0.4250219176926673,0.37124509753632545,0.5713430678880994,0.422096496352248,0.5245243623851382,0.5127922314669549,0.38056322192415926,0.48942382906514276,0.32157058803548394,0.6436956295749091,0.5359322453421305
KIE,-0.033332601292611126,0.3726606589288807,0.2388337112725847,0.6745074767657065,0.4250219176926673,1.0,0.23471821480937935,0.7544255157638778,0.7161581240554197,0.4941549725044059,0.4362993806968387,0.5719209814944846,0.5247199699233922,0.37335667814254453,0.5962855732178226,0.3703316302194754
THD,-0.026327720221764845,0.36103981991381107,0.5725854362294471,0.422939046240325,0.37124509753632545,0.23471821480937935,1.0,0.459520019111135,0.38231990475108224,0.6163363150996909,0.5668290510339934,0.31619045933569495,0.4333446702953047,0.2281111971577743,0.458648692223096,0.6184549246650909
VTV,-0.02219955906549811,0.559524859443194,0.547795804382083,0.8526381494586756,0.5713430678880994,0.7544255157638778,0.459520019111135,1.0,0.8853433833085086,0.7366838445401452,0.6100464508806361,0.7396445723749924,0.6645478670169731,0.5269549275551171,0.781827918066787,0.6795110089311116
SPYD,-0.000992164432772468,0.47099231084853505,0.3815468202619467,0.8109755495826809,0.422096496352248,0.7161581240554197,0.38231990475108224,0.8853433833085086,1.0,0.6515177853219398,0.5304749567448385,0.6479498321805249,0.5815184183822713,0.518910901296394,0.6647404864781649,0.523721411011086
AVDV,-0.03146187060642098,0.5026724570729662,0.6897143723364703,0.7086204354515946,0.5245243623851382,0.4941549725044059,0.6163363150996909,0.7366838445401452,0.6515177853219398,1.0,0.7357079896072235,0.4621222710776884,0.6139601835631328,0.4295060328393642,0.6792050540209557,0.8753359887763634
EWS,-0.015835231562354123,0.4994482500253859,0.6168308821241292,0.5719729919156865,0.5127922314669549,0.4362993806968387,0.5668290510339934,0.6100464508806361,0.5304749567448385,0.7357079896072235,1.0,0.4266819741664399,0.5527813984504529,0.3058590608924097,0.6263729682217223,0.7161800272958084
XLV,0.005908971047517341,0.5649499222821203,0.2712352030128661,0.4975240822573783,0.38056322192415926,0.5719209814944846,0.31619045933569495,0.7396445723749924,0.6479498321805249,0.4621222710776884,0.4266819741664399,1.0,0.4096626447510284,0.24310693641434727,0.5179543719121513,0.41170111130613374
JETS,-0.008950068302680154,0.5132328309348622,0.5279309723565568,0.7129079504596303,0.48942382906514276,0.5247199699233922,0.4333446702953047,0.6645478670169731,0.5815184183822713,0.6139601835631328,0.5527813984504529,0.4096626447510284,1.0,0.23485997507962425,0.6911819649497276,0.5794184563366677
XOP,-0.057544954118827034,0.23381318417948727,0.2681058207044764,0.6246067101347506,0.32157058803548394,0.37335667814254453,0.2281111971577743,0.5269549275551171,0.518910901296394,0.4295060328393642,0.3058590608924097,0.24310693641434727,0.23485997507962425,1.0,0.4741023315545777,0.30536094139160347
RYLD,-0.030738019839025372,0.6265068359595563,0.5836889534868637,0.8113663580210969,0.6436956295749091,0.5962855732178226,0.458648692223096,0.781827918066787,0.6647404864781649,0.6792050540209557,0.6263729682217223,0.5179543719121513,0.6911819649497276,0.4741023315545777,1.0,0.6572675461863149
VPL,-0.03518722580854719,0.506062427179889,0.7861216475355984,0.6341137676842696,0.5359322453421305,0.3703316302194754,0.6184549246650909,0.6795110089311116,0.523721411011086,0.8753359887763634,0.7161800272958084,0.41170111130613374,0.5794184563366677,0.30536094139160347,0.6572675461863149,1.0
