Ticker,Weight,WeightPct,InLatestEligibleBasket,Reason,Score,EligibleNow,Mom21,Mom126Skip21,Mom63,Mom126,RS63VsSPY,RS126VsSPY,Vol63Ann,DownsideVol63Ann,AboveSMA50,AboveSMA126,PositiveMom63,PositiveMom126,OutperformSPY63DiagnosticOnly,OutperformSPY126DiagnosticOnly
SGOV,0.21121120061827162,21.121120061827163,False,Cash/volatility-control sleeve or cash residual after pruning.,,,,,,,,,,,,,,,,
XBI,0.09196572518522772,9.196572518522771,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,27.909394859320855,True,0.1190919151784271,0.2361597507873423,0.2846675261090601,0.383376382975094,0.2728878142061133,0.2559890439772792,0.29841179496247056,0.17553728538212346,True,True,True,True,True,True
EWT,0.08240342876438672,8.240342876438673,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,26.31051109785898,True,0.07634820254009522,0.44460219806752965,0.03512632542386385,0.5548949792754561,0.023346613520917048,0.4275076402776412,0.41367762336640557,0.30122613768340306,True,True,True,True,True,True
AVUV,0.07662806389365681,7.662806389365681,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,15.293055749717322,True,-0.0070521291259108,0.15286189015945362,0.04411110234109117,0.14473175924570758,0.03233139043814437,0.017344420247892733,0.116399264067436,0.07329541338484068,True,True,True,True,True,True
CIBR,0.06715679340414092,6.715679340414092,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,25.089003832637705,True,-0.032443857309075175,0.486908521494708,0.0417379808421483,0.43866747359168556,0.029958268939201504,0.3112801345938707,0.32410812871561007,0.1971014405927039,True,True,True,True,True,True
KIE,0.06157317235059039,6.157317235059039,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,16.827045003784416,True,-0.009329037375142901,0.1314669616793369,0.16726439445465524,0.12091146410509102,0.15548468255170844,-0.006475874892723832,0.19548263084731635,0.10046900992677033,True,True,True,True,True,False
THD,0.05327411143898529,5.327411143898529,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,11.994671773693083,False,0.010246341348362886,0.11526467357448511,0.0028731129753696294,0.1266920561136997,-0.00890659892757717,-0.0006952828841151337,0.17982489442142027,0.12741862236363594,True,True,True,True,False,False
VTV,0.04961319068470328,4.9613190684703286,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,14.93913320445008,False,0.006965708636970103,0.11866213900165312,0.05453866772353044,0.12645441352514863,0.042758955820583644,-0.0009329254726662128,0.09570334875387235,0.06120202041035869,True,True,True,True,True,False
SPYD,0.04755919095992456,4.755919095992455,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,12.68406236410694,False,0.0026106403105852216,0.07759317849343383,0.05833737473130807,0.08040638668362043,0.04655766282836127,-0.04698095231419441,0.12524622294690013,0.0818496185518079,True,True,True,True,True,False
AVDV,0.045975306727516554,4.597530672751655,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,11.72823172764846,False,0.042403384419963386,0.05483587963066361,0.04248920574936066,0.09956449093461295,0.03070949384641386,-0.0278228480632019,0.17124769593357378,0.11678284581234193,True,True,True,True,True,False
EWS,0.039474097248335956,3.9474097248335958,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,22.623602950304534,True,0.04980584345076666,0.20735896228098438,0.1637536897879499,0.267492493745231,0.1519739778850031,0.14010515474741614,0.1587018059417476,0.10099910722689816,True,True,True,True,True,True
XLV,0.03947409724833595,3.947409724833595,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,16.08222846010286,True,0.0599414968224794,0.07570539738964488,0.14918060673879996,0.1401847890492003,0.13740089483585316,0.01279745005138544,0.1955840037712716,0.10033602053580876,True,True,True,True,True,True
DIV,0.037768021585850804,3.7768021585850806,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,12.03716996386784,False,0.015075978951531566,0.041785039186170714,0.06416412977698238,0.05749096850896174,0.05238441787403558,-0.06989637048885311,0.10419961335988952,0.0620852293767547,True,True,True,True,True,False
JETS,0.03774344685646401,3.774344685646401,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,11.071160743981974,False,-0.12742865858184993,0.28565946615739857,0.04490414330714376,0.12182960499190387,0.03312443140419696,-0.005557734005910975,0.3305543183399378,0.21042092593776926,False,True,True,True,True,False
XOP,0.029923741059462255,2.9923741059462254,False,Carryover/kept holding from prior rebalance; still above pruning threshold.,13.192749250819304,False,0.14225689886614878,0.01737753804208464,0.10872555339265477,0.16210651158002887,0.09694584148970797,0.03471917258221402,0.2911278228895235,0.18854213185966112,True,True,True,True,True,True
RYLD,0.028256411974147078,2.8256411974147078,True,Current eligible ETF selected by the V5.7/V5.9b signal layer.,15.036247321434576,True,0.010127116007997428,0.10340691628994447,0.06136292486337469,0.11458124613523935,0.04958321296042789,-0.012806092862575502,0.06757742268145644,0.03963837440759288,True,True,True,True,True,False
