Ticker,SGOV,XBI,EWT,AVUV,CIBR,KIE,THD,VTV,SPYD,AVDV,EWS,XLV,DIV,JETS,XOP,RYLD
SGOV,1.0,-0.04464790744875587,-0.03213876136296675,-0.029738067327914758,-0.016266511806655455,-0.029046816572704554,-0.02191756232722721,-0.022464826059039763,0.022430451532201096,-0.03526017861608408,-0.033510407068865516,0.006119934851452228,0.0030499633232443065,-0.0032849745059082523,-0.019923589061629672,-0.042503838170629284
XBI,-0.04464790744875587,1.0,0.3935544883203781,0.528246602457429,0.3890418839597589,0.28615004775775593,0.342273964377115,0.5451601703535301,0.4630307411103797,0.4855986145414125,0.42205999084176377,0.5445890340642107,0.43510941713044465,0.4791475311391726,0.19720170953947186,0.5718324023027098
EWT,-0.03213876136296675,0.3935544883203781,1.0,0.48520228232556234,0.5001532535032552,0.11877863508432622,0.5295689811572621,0.5067584471359622,0.29236204445614844,0.6684412842752652,0.5786370966449704,0.18129208955527532,0.29705566134452127,0.48473325696784814,0.19544789425065107,0.5617525659474281
AVUV,-0.029738067327914758,0.528246602457429,0.48520228232556234,1.0,0.5101138324515054,0.5968163268936084,0.3601568359481853,0.8349690839928696,0.7794014920275322,0.6449978973977446,0.5225771859324357,0.4212588668240977,0.7725618238368424,0.6980243950223792,0.5874309718682938,0.8057258917100752
CIBR,-0.016266511806655455,0.3890418839597589,0.5001532535032552,0.5101138324515054,1.0,0.32995434428102155,0.3248408830603664,0.5032044980934751,0.33573162826271047,0.4617610595215683,0.4409548618486776,0.2482697704949411,0.3174034719115272,0.4242147704933067,0.2809563697267953,0.5830798000843174
KIE,-0.029046816572704554,0.28615004775775593,0.11877863508432622,0.5968163268936084,0.32995434428102155,1.0,0.14260455091715765,0.6833028142545008,0.6547287688933042,0.37714339341501985,0.3622645211422623,0.49282007288304647,0.629776515478745,0.43892010519212626,0.3265245915431666,0.5253887643618148
THD,-0.02191756232722721,0.342273964377115,0.5295689811572621,0.3601568359481853,0.3248408830603664,0.14260455091715765,1.0,0.408878025231994,0.31351563723904374,0.5725283448913754,0.5369033297109577,0.26302936734290744,0.30563874359631243,0.38259000722264047,0.1635448654890682,0.42518890196487724
VTV,-0.022464826059039763,0.5451601703535301,0.5067584471359622,0.8349690839928696,0.5032044980934751,0.6833028142545008,0.408878025231994,1.0,0.8502353475572055,0.6883693280596457,0.5914358506606955,0.6718633501844222,0.795151433526883,0.6549441114636274,0.5008803372431083,0.7838002287016416
SPYD,0.022430451532201096,0.4630307411103797,0.29236204445614844,0.7794014920275322,0.33573162826271047,0.6547287688933042,0.31351563723904374,0.8502353475572055,1.0,0.5663021349106471,0.4961490100880626,0.5948880682237323,0.8996347134727629,0.5562424120910154,0.4722202558236823,0.6406083462185899
AVDV,-0.03526017861608408,0.4855986145414125,0.6684412842752652,0.6449978973977446,0.4617610595215683,0.37714339341501985,0.5725283448913754,0.6883693280596457,0.5663021349106471,1.0,0.7135873883252638,0.3802544762043906,0.5738937706942789,0.5662135216274513,0.33835749919153585,0.6572905752018983
EWS,-0.033510407068865516,0.42205999084176377,0.5786370966449704,0.5225771859324357,0.4409548618486776,0.3622645211422623,0.5369033297109577,0.5914358506606955,0.4961490100880626,0.7135873883252638,1.0,0.36900979149081964,0.4959248798118118,0.4964474249622988,0.2892337804432244,0.6153597074029808
XLV,0.006119934851452228,0.5445890340642107,0.18129208955527532,0.4212588668240977,0.2482697704949411,0.49282007288304647,0.26302936734290744,0.6718633501844222,0.5948880682237323,0.3802544762043906,0.36900979149081964,1.0,0.535688096466678,0.36417332021626164,0.2037382774207002,0.443894315663849
DIV,0.0030499633232443065,0.43510941713044465,0.29705566134452127,0.7725618238368424,0.3174034719115272,0.629776515478745,0.30563874359631243,0.795151433526883,0.8996347134727629,0.5738937706942789,0.4959248798118118,0.535688096466678,1.0,0.4889378224904119,0.5356662981493883,0.6321504067199024
JETS,-0.0032849745059082523,0.4791475311391726,0.48473325696784814,0.6980243950223792,0.4242147704933067,0.43892010519212626,0.38259000722264047,0.6549441114636274,0.5562424120910154,0.5662135216274513,0.4964474249622988,0.36417332021626164,0.4889378224904119,1.0,0.18918688256199054,0.6819383601795782
XOP,-0.019923589061629672,0.19720170953947186,0.19544789425065107,0.5874309718682938,0.2809563697267953,0.3265245915431666,0.1635448654890682,0.5008803372431083,0.4722202558236823,0.33835749919153585,0.2892337804432244,0.2037382774207002,0.5356662981493883,0.18918688256199054,1.0,0.45505121306293217
RYLD,-0.042503838170629284,0.5718324023027098,0.5617525659474281,0.8057258917100752,0.5830798000843174,0.5253887643618148,0.42518890196487724,0.7838002287016416,0.6406083462185899,0.6572905752018983,0.6153597074029808,0.443894315663849,0.6321504067199024,0.6819383601795782,0.45505121306293217,1.0
